index_100,brand,model,website_link,ingredient_list,has_soy,has_palm_oil,total_arsenic,inorganic_arsenic,lead,cadmium,mercury,aluminum,potassium,bisphenol_a,bisphenol_f,bisphenol_s,acrylamide,report_year
101,A2,Platinum,https://a2platinum.com/pages/why-a2,recalled,,,ND,NT,2.9,ND,ND,1770,5580000,ND,ND,ND,ND,2025
102,Aptamil,First Infant Milk,https://www.nutricia.co.uk/hcp/pim-products/aptamil-first-infant-milk-with-pronutra-powder.html,"Dairy-based blend (of which 29% is fermented) [Lactose (from milk), Vegetable oils (High oleic sunflower oil, Coconut oil, Rapeseed oil, Sunflower oil), Skimmed milk, Demineralised whey (from milk), Whey concentrate (from milk), Fish oil, Potassium citrate, Calcium carbonate, Magnesium chloride, Choline chloride, Calcium phosphate, Sodium citrate, Potassium chloride, Vitamin C, Emulsifier (Soy lecithin), Inositol, Antioxidant (Vitamin C), Pantothenic acid, Nicotinamide, Vitamin E, Thiamin, Riboflavin, Vitamin B₆, Potassium iodide, Folic acid, Vitamin K₁, Biotin, Vitamin B₁₂], Galacto-oligosaccharides (GOS) (from milk), Milk protein, Fructo-oligosaccharides (FOS), Oil from Mortierella Alpina, Sodium chloride, L-Tryptophan, Ferrous sulphate, Zinc sulphate, L-Carnitine, Copper sulphate, Vitamin A, Sodium selenite, Manganese sulphate, Vitamin D₃. Allergy Advice: For allergens, see ingredients in bold.",,,ND,NT,1.5,ND,ND,215,5670000,ND,ND,ND,ND,2025
103,"Baby’s Only
Organic",Complete Nutrition,https://babysonly.com/collections/shop-all/products/organic-gentle-infant-formula,"Organic Lactose, Organic Nonfat Milk (Source Of A2 Proteins), Organic High Oleic Sunflower, Organic Soybean Oil, Organic Whey Protein Concentrate, Organic Coconut Oil, Less Than 2% Of: Organic Soy Lecithin, Calcium Carbonate, Calcium Phosphate, Sodium Chloride, Potassium Chloride, Potassium Citrate, Magnesium Phosphate, Choline Bitartrate, Calcium Ascorbate, Inositol, Ferrous Sulfate, D-Alpha Tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Biotin, Vitamin A, Thiamin Hydrochloride, Copper Sulfate, Riboflavin, Pyridoxine Hydrochloride, Sodium Selenate, Manganese Sulfate, Phylloquinone, Folic Acid, Vitamin D3, And Vitamin B12.",,,ND,NT,1.4,ND,ND,307,6080000,ND,ND,ND,ND,2025
104,Bobbie,"Grass-Fed Whole Milk
(non-organic)",,,,,ND,NT,ND,ND,ND,95,7080000,ND,ND,ND,ND,2026
105,Bobbie,Organic,,,,,ND,NT,1.2,ND,ND,1030,6740000,ND,ND,ND,ND,2025
106,Bobbie,Organic Gentle,,,,,ND,NT,1.5,ND,ND,1325,7376667,ND,ND,ND,ND,2025
107,Bobbie,Organic Whole Milk,,,,,2,NT,ND,ND,ND,126,6210000,ND,ND,ND,ND,2026
108,Bubs,"Stage 1 Easy-digest
Goat Milk",,,,,2.8,NT,ND,ND,ND,318,6310000,ND,ND,ND,ND,2025
109,Bubs,"Stage 1 Organic
Grass Fed",,,,,2.9,NT,1.9,1.9,ND,1985,6135000,ND,ND,ND,ND,2025
110,ByHeart,Whole Nutrition,,,,,ND,NT,3.5,3.9,ND,1280,6320000,ND,ND,ND,ND,2025
111,Dr. Brown’s,GentlePro,,,,,4.4,NT,ND,ND,ND,148,6270000,ND,ND,ND,ND,2025
112,Dr. Brown’s,Good Start Soy-Ease Pro,,,,,9.9,7.9,2.3,4.3,0.5,4403,6806667,ND,ND,ND,ND,2026
113,Dr. Brown’s,SoothePro,,,,,9.3,8.1,ND,ND,ND,280,6600000,ND,ND,ND,ND,2025
114,Earth’s Best,Organic Dairy,,,,,ND,NT,1.8,ND,ND,477,6375000,ND,ND,ND,ND,2025
115,Earth’s Best,Organic Sensitivity,,,,,3,NT,1.9,ND,ND,316,4956667,ND,ND,ND,ND,2026
116,EleCare,Hypoallergenic,,,,,23.9,19.7,3,ND,ND,1218,7335000,ND,ND,ND,ND,2025
117,Enfamil,24 Ready to Feed,,,,,0.7,0.8,0.4,ND,ND,162,1140000,ND,ND,ND,ND,2026
118,Enfamil,A.R.,,,,,2.3,NT,1.5,2.3,ND,215,5940000,ND,ND,ND,ND,2025
119,Enfamil,Concentrated,,,,,0.7,NT,0.6,0.7,ND,166,1713333,ND,ND,ND,ND,2026
120,Enfamil,Enspire Optimum,,,,,ND,NT,ND,2.3,ND,ND,5805000,ND,ND,ND,ND,2025
121,Enfamil,Gentlease,,,,,3.7,NT,1.5,3.6,ND,1480,7425000,ND,ND,ND,ND,2025
122,Enfamil,Infant Formula,,,,,ND,NT,ND,4.4,0.6,142,6413333,ND,ND,ND,ND,2026
123,Enfamil,NeuroPro,,,,,ND,NT,ND,1.4,ND,89,6253333,ND,ND,ND,ND,2025
124,Enfamil,NeuroPro Enfacare,,,,,5.2,3.8,ND,3.1,ND,420,6960000,ND,ND,ND,ND,2026
125,Enfamil,"NeuroPro EnfaCare Ready
to Feed",,,,,0.9,1,ND,ND,ND,81,1015333,ND,ND,ND,ND,2026
126,Enfamil,NeuroPro Gentlease,,,,,5.4,NT,1.6,2.7,ND,141,7840000,ND,ND,ND,ND,2025
127,Enfamil,"NeuroPro Gentlease Ready
to Feed",,,,,1.2,1.2,ND,ND,ND,123,901000,ND,ND,ND,ND,2026
128,Enfamil,NeuroPro Ready to Feed,,,,,ND,NT,ND,ND,0.27,44,879667,ND,ND,ND,ND,2026
129,Enfamil,Nutramigen,,,,,5.9,NT,4.2,2,ND,1645,6540000,4.8,ND,ND,19,2025
130,Enfamil,Nutramigen Ready to Feed,,,,,1.3,1,ND,0.5,ND,274,854333,ND,ND,ND,ND,2026
131,Enfamil,"Nutramigen with Probiotic
LGG",,,,,8.4,7.6,5.7,2.1,ND,2187,6970000,8,ND,ND,12,2026
132,Enfamil,Optimum Ready to Feed,,,,,ND,NT,ND,ND,ND,17,897667,ND,ND,ND,ND,2026
133,Enfamil,"Pregestimil Hypoallergenic
Infant Formula for Fat Mal-
absorption Ready to Feed",,,,,1.2,1.2,0.5,0.6,ND,607,893667,ND,ND,ND,ND,2026
