brand,model,total_arsenic,inorganic_arsenic,lead,cadmium,mercury,aluminum,potassium,bisphenol_a,bisphenol_f,bisphenol_s,acrylamide,report_year
Enfamil,Sensitive,10.6,9.0,1.8,ND,ND,272,"8,026,667",ND,ND,ND,ND,2026
Enfamil,"Nutramigen with Probiotic
LGG",8.4,7.6,5.7,2.1,ND,2187,"6,970,000",8,ND,ND,12.0,2026
Dr. Brown’s,Good Start Soy-Ease Pro,9.9,7.9,2.3,4.3,0.5,4403,"6,806,667",ND,ND,ND,ND,2026
Pepticate,Hypoallergenic,8.6,7.0,3.1,1.5,0.9,282,"5,220,000",ND,ND,ND,ND,2026
Nannycare,Goat milk based,8.3,6.1,ND,ND,ND,201,"6,753,333",2,ND,ND,ND,2026
Up&Up (Target),Hypoallergenic,7.4,5.9,2.1,ND,ND,448,"7,673,333",ND,ND,ND,ND,2026
Nestle,Alfamino,6.5,5.2,8.8,2.3,ND,763,"6,130,000",ND,ND,ND,ND,2026
Up&Up (Target),Sensitivity Premium,5.7,5.0,1.8,ND,ND,1585,"5,593,333",ND,ND,ND,ND,2026
Sprout Organics,Plant-Based,15.1,4.5,8.5,22.4,1.6,4463,"5,166,667",3,ND,ND,18,2026
Enfamil,NeuroPro Enfacare,5.2,3.8,ND,3.1,ND,420,"6,960,000",ND,ND,ND,ND,2026
Parent’s Choice,Sensitivity Premium,5.1,3.59,1.6,ND,0.64,2000,"5,863,333",ND,ND,ND,ND,2026
Nestle,Extensive HA,4.6,3.3,4.1,ND,ND,321,"7,073,333",ND,ND,ND,ND,2026
Enfamil,Reguline,3.8,3.0,ND,3.0,ND,785,"7,296,667",ND,ND,ND,ND,2026
Kendamil,Goat,3.7,2.6,1.6,ND,ND,72,"6,510,000",ND,ND,ND,ND,2026
Earth’s Best,Organic Sensitivity,3.0,NT,1.9,ND,ND,316,"4,956,667",ND,ND,ND,ND,2026
Neocate,Syneo Hypoallergenic,3.3,NT,3.1,1.4,0.3,328,"5,253,333",ND,ND,ND,ND,2026
Enfamil,Infant Formula,ND,NT,ND,4.4,0.6,142,"6,413,333",ND,ND,ND,ND,2026
Mama Bear,Sensitivity Premium,3.6,NT,1.5,2.4,ND,2823,"6,200,000",ND,ND,ND,ND,2026
Jovie,Stage 1 Organic Goat Milk,2.4,NT,1.9,ND,ND,706,"6,800,000",ND,ND,ND,ND,2026
"Pure Bliss by
Similac",Irish Farms,3.5,NT,2.0,ND,0.7,587,"6,396,667",ND,ND,ND,ND,2026
Pure Goat,Bio Complete,ND,NT,2.1,2.5,ND,339,"6,790,000",ND,ND,ND,ND,2026
HiPP,Hypoallergenic,2.6,NT,1.9,3.3,ND,530,"6,300,000",ND,ND,ND,ND,2026
Holle,Organic Goat Milk,2.1,NT,2.1,3.3,ND,206,"6,500,000",ND,ND,ND,ND,2026
"Happy Baby
Organics",Organic Infant Formula,3.5,NT,1.8,ND,0.92,,"5,223,333",ND,ND,ND,ND,2026
Bobbie,"Grass-Fed Whole Milk
(non-organic)",ND,NT,ND,ND,ND,,"7,080,000",ND,ND,ND,ND,2026
Bobbie,Organic Whole Milk,2.0,NT,ND,ND,ND,,"6,210,000",ND,ND,ND,ND,2026
Similac,Soy Isomil Concentrated,2.2,2.3,1.1,2.6,ND,,"1,533,333",ND,ND,ND,ND,2026
Similac,Advance Concentrated,0.8,1.0,0.8,ND,ND,,"1,643,333",ND,ND,ND,ND,2026
Enfamil,Concentrated,0.7,NT,0.6,0.7,ND,,"1,713,333",ND,ND,ND,ND,2026
Similac,Soy Isomil Ready to Feed,1.4,1.4,0.4,1.0,ND,,"893,000",ND,ND,ND,ND,2026
Similac,NeoSure Ready to Feed,1.0,0.9,0.4,ND,ND,,"1,150,000",ND,ND,ND,ND,2026
Similac,"360 Total Care Ready to
Feed",ND,NT,0.4,ND,ND,,"797,000",ND,ND,ND,ND,2026
Enfamil,"NeuroPro Gentlease Ready
to Feed",1.2,1.2,ND,ND,ND,,"901,000",ND,ND,ND,ND,2026
Enfamil,NeuroPro Ready to Feed,ND,NT,ND,ND,0.27,,"879,667",ND,ND,ND,ND,2026
Enfamil,Nutramigen Ready to Feed,1.3,1.0,ND,0.5,ND,,"854,333",ND,ND,ND,ND,2026
Enfamil,Optimum Ready to Feed,ND,NT,ND,ND,ND,,"897,667",ND,ND,ND,ND,2026
Nutricia Fortini,"Milk-Based with Iron Ready
to Feed",0.8,0.8,ND,ND,0.36,,"1,025,333",ND,ND,ND,ND,2026
Similac,Sensitive Ready to Feed,1.0,0.8,ND,ND,ND,,"952,667",ND,ND,ND,ND,2026
Similac,"360 Total Care Sensitive
Ready to Feed",0.9,0.9,ND,ND,ND,,"991,333",ND,ND,ND,ND,2026
Similac,Alimentum Ready to Feed,1.4,1.4,0.7,0.6,0.12,,"876,000",ND,ND,ND,ND,2026
Similac,Advance Ready to Feed,0.7,0.7,ND,ND,0.18,,"882,000",ND,ND,ND,ND,2026
Similac,Pure Bliss Ready to Feed,ND,NT,ND,ND,ND,,"1,031,333",ND,ND,ND,ND,2026
Enfamil,"ProSobee Simply Plant-
Based",1.3,1.3,ND,0.9,ND,390,"907,667",ND,ND,ND,ND,2026
Enfamil,24 Ready to Feed,0.7,0.8,0.4,ND,ND,162,"1,140,000",ND,ND,ND,ND,2026
Similac,"Pro-Total Comfort Ready to
Feed",2.8,2.6,ND,0.7,ND,152,"1,150,000",ND,ND,ND,ND,2026
HiPP,"Organic Whole Milk Ready
to Feed",ND,NT,ND,ND,ND,ND,"711,667",ND,ND,ND,ND,2026
Enfamil,"Pregestimil Hypoallergenic
Infant Formula for Fat Mal-
absorption Ready to Feed",1.2,1.2,0.5,0.6,ND,607,"893,667",ND,ND,ND,ND,2026
